run,model_name,voxel_size,fold_id,epoch,train_loss,test_loss,aucroc,aps,accuracy,precision,recall,f1
vs_2_linear,linear,2,0,1,0.6681434574467321,0.6332142052468162,0.737345095568158,0.6993813765318045,0.6531738730450782,0.6083832335329341,0.910394265232975,0.7293610911701364
vs_2_linear,linear,2,0,2,0.641373314597549,0.6173528563274346,0.7428501737910848,0.7057437848251868,0.6596136154553818,0.6169154228855721,0.8888888888888888,0.7283406754772394
vs_2_linear,linear,2,0,3,0.6249026641945351,0.6296753888081051,0.7291298249893287,0.6952397120022223,0.640294388224471,0.6,0.8978494623655914,0.719310839913855
vs_2_linear,linear,2,0,4,0.612061366127394,0.6164417877874206,0.7413223028504448,0.7094044249839568,0.6485740570377185,0.6105527638190955,0.8709677419354839,0.7178729689807977
vs_2_linear,linear,2,0,5,0.6007508770842518,0.6215452050730238,0.7331510728973989,0.699346396360512,0.6448942042318307,0.6061728395061728,0.8799283154121864,0.7178362573099415
vs_2_linear,linear,2,0,6,0.5893813799679395,0.6320061715495505,0.7187972166324504,0.6840519369003027,0.6292548298068077,0.5925925925925926,0.8888888888888888,0.7111111111111111
vs_2_linear,linear,2,0,7,0.5825065038264359,0.6209096092783323,0.7341944969544215,0.6984699069586573,0.6375344986200552,0.6009852216748769,0.8745519713261649,0.7124087591240876
vs_2_linear,linear,2,1,1,0.6672535643125093,0.6393127278068426,0.7220504139674686,0.6684697453724046,0.681024447031432,0.6304347826086957,0.918552036199095,0.7476979742173112
vs_2_linear,linear,2,1,2,0.637150979562962,0.6355192818488119,0.7263094501774146,0.6694303522516702,0.670547147846333,0.6213740458015267,0.920814479638009,0.7420237010027347
vs_2_linear,linear,2,1,3,0.6224828753047512,0.6382802905815652,0.7173546230888593,0.6608322027779365,0.660069848661234,0.6119402985074627,0.9276018099547512,0.737410071942446
vs_2_linear,linear,2,1,4,0.6106769452264167,0.6277918505416219,0.7309374220080949,0.6819448031265596,0.6752037252619325,0.6251920122887865,0.920814479638009,0.7447392497712717
