run,model_name,voxel_size,folds,mean_best_epoch,best_mean_loss,mean_aps,ci_aps_low,ci_aps_high,ci_aps_delta,aps_print,mean_aucroc,ci_aucroc_low,ci_aucroc_high,ci_aucroc_delta,aucroc_print,mean_accuracy,mean_f1
vs_1_cnn,cnn,1,5,8.0,0.08104099404147619,0.9945244403225935,0.9928368273870292,0.9962120532581578,0.001687612935564275,0.99452 ± 0.00169,0.9947585303831662,0.9935610696101511,0.9959559911561813,0.00119746077301504,0.99476 ± 0.0012,0.9722050223805656,0.9743446454382546
vs_2_cnn,cnn,2,5,3.0,0.6396320127181163,0.6653058889693695,0.6186257643145106,0.7119860136242284,0.046680124654858955,0.66531 ± 0.0467,0.6961287412117321,0.6433892350409867,0.7488682473824775,0.05273950617074543,0.69613 ± 0.0527,0.6301024757590614,0.6727568382218332
vs_1_linear,linear,1,5,5.0,0.4539677643514751,0.9277261012533703,0.9225221120695886,0.932930090437152,0.0052039891837817286,0.92773 ± 0.0052,0.910512610741951,0.9030449885372336,0.9179802329466684,0.007467622204717444,0.91051 ± 0.00747,0.8192518332892211,0.8467878747655838
vs_2_linear,linear,2,5,4.0,0.6433060305567986,0.6770341073826497,0.6559095702294555,0.6981586445358439,0.021124537153194196,0.67703 ± 0.0211,0.7102917909248669,0.6881017435916102,0.7324818382581236,0.022190047333256663,0.71029 ± 0.0222,0.6511443942564258,0.7184132181753566
random,random,,5,,0.693,-,,,,0.500,,,,,0.500,0.500,0.500
