run,model_name,voxel_size,fold_id,epoch,train_loss,test_loss,aucroc,aps,accuracy,precision,recall,f1
vs_1_cnn,cnn,1,0,6,0.07363434819692644,0.06823248657016576,0.9968935783262701,0.9972111084947178,0.9755185311118667,0.9717868338557993,0.9828788839568802,0.9773013871374527
vs_1_cnn,cnn,1,1,7,0.07601471158128413,0.08243907111635038,0.994978963152625,0.9950605366951917,0.9727613210759278,0.9735349716446124,0.9759949463044851,0.9747634069400631
vs_1_cnn,cnn,1,2,8,0.08567156299517777,0.09187340534132875,0.9932356440277985,0.9919253644883836,0.9643463497453311,0.9547953573610263,0.9805520702634881,0.9675023212627669
vs_1_cnn,cnn,1,3,9,0.06901095297452317,0.07934835483123948,0.9940320938059722,0.9937812747503352,0.9735413839891451,0.9711598746081505,0.9797596457938014,0.97544080604534
vs_1_cnn,cnn,1,4,11,0.08592162318151032,0.08331165234829656,0.9946523726031654,0.9946439171843391,0.9748575259805565,0.9668100799016595,0.9868255959849436,0.9767153058056505
vs_1_linear,linear,1,0,5,0.25295771540225154,0.44475712649051813,0.9061332534955381,0.9271470697419046,0.8187691261475688,0.7830802603036876,0.9156626506024096,0.8441976030400468
vs_1_linear,linear,1,1,4,0.28835265099897966,0.4574778821016922,0.921636693785802,0.9326444872258794,0.8147769833163092,0.7611865258924082,0.9564118761844599,0.8477043673012318
vs_1_linear,linear,1,2,8,0.1814543836017751,0.45145972211232327,0.8993041076501723,0.918092380509234,0.8241086587436333,0.7969094922737306,0.9058971141781681,0.8479154433352907
vs_1_linear,linear,1,3,5,0.2510945529179824,0.45829384706872683,0.9103148350450925,0.9281776956074876,0.8273405698778833,0.7854100106496272,0.9329538266919671,0.8528476438276958
vs_1_linear,linear,1,4,4,0.28450703882462774,0.45785024398411484,0.9151741637331497,0.9325688731823454,0.8112638283607106,0.763952892985151,0.9360100376411543,0.8412743163236538
vs_2_cnn,cnn,2,0,2,0.6536688794120369,0.5899094213974683,0.740871733371276,0.707775930402655,0.6577736890524379,0.6139705882352942,0.8978494623655914,0.7292576419213974
vs_2_cnn,cnn,2,1,5,0.5985933729506936,0.5895869228539308,0.7626116301528912,0.7211633382871273,0.6903376018626309,0.6396825396825396,0.9117647058823529,0.7518656716417911
vs_2_cnn,cnn,2,2,2,0.6089162124076204,0.709046071243938,0.6190735220211988,0.5907034074060387,0.59375,0.5719139297848245,0.8305921052631579,0.6773977196512407
vs_2_cnn,cnn,2,3,1,0.6598497200287463,0.6600211163886556,0.6513172485900767,0.6365070118743048,0.6061884669479606,0.5746140651801029,0.9128065395095368,0.7052631578947368
vs_2_cnn,cnn,2,4,3,0.6430256086262695,0.6495965317065893,0.7067695719232174,0.6703797568767218,0.6024626209322779,0.710691823899371,0.3856655290102389,0.5
vs_2_linear,linear,2,0,4,0.612061366127394,0.6164417877874206,0.7413223028504448,0.7094044249839568,0.6485740570377185,0.6105527638190955,0.8709677419354839,0.7178729689807977
vs_2_linear,linear,2,1,7,0.5829817120826187,0.6223122770477706,0.7330126848747246,0.6916962284365388,0.6786961583236322,0.6276923076923077,0.9230769230769231,0.7472527472527473
vs_2_linear,linear,2,2,5,0.5953976846963538,0.648842277773656,0.6935564007675439,0.6734423888217786,0.6418918918918919,0.6047835990888383,0.8733552631578947,0.7146702557200538
vs_2_linear,linear,2,3,4,0.6056630859772896,0.6430654066222383,0.699504150560801,0.6625236880260481,0.6357243319268636,0.608433734939759,0.8256130790190735,0.7005780346820809
vs_2_linear,linear,2,4,1,0.6478945135078844,0.6858684035529078,0.6840634155708206,0.6481038066449268,0.6508355321020228,0.6194690265486725,0.8361774744027304,0.7116920842411039
